rank,player_name,team_code,position,goals,assists,minutes_played
1210,Ramy Bensebaini,ALG,DF,0,0,403
1210,Fares Chaibi,ALG,MF,0,0,403
1210,Aissa Mandi,ALG,DF,0,0,403
1213,Vitinha,POR,MF,0,0,404
1214,Hiroki Ito,JPN,DF,0,0,405
1215,Zion Suzuki,JPN,GK,0,0,405
1216,Aiden Oneill,AUS,MF,0,0,406
1217,Moises Caicedo,ECU,MF,0,0,407
1217,Hernan Galindez,ECU,GK,0,0,407
1217,Willian Pacho,ECU,DF,0,0,407
1220,Yahia Fofana,CIV,GK,0,0,408
1221,Lionel Mpasi,COD,GK,0,0,409
1222,Axel Tuanzebe,COD,DF,0,0,409
1223,Mohanad Lashin,EGY,MF,0,0,409
1224,Idrissa Gana Gueye,SEN,MF,0,0,411
1225,Nikola Vasilj,BIH,GK,0,0,411
1226,Alexander Schlager,AUT,GK,0,0,412
1227,Johan Vasquez,MEX,DF,0,0,412
1228,Dominik Livakovic,CRO,GK,0,0,413
1228,Josip Sutalo,CRO,DF,0,0,413
1230,Gideon Mensah,GHA,DF,0,0,414
1230,Antoine Semenyo,GHA,MF,0,0,414
1232,Ruben Dias,POR,DF,0,0,418
1233,Jonathan Tah,GER,DF,0,0,419
1234,Matt Freese,USA,GK,0,0,419
1234,Tim Ream,USA,DF,0,0,419
1234,Chris Richards,USA,DF,0,0,419
1237,Luc De Fougerolles,CAN,DF,0,0,421
1238,Ayyoub Bouaddi,MAR,MF,0,0,425
1239,Ramy Rabia,EGY,DF,0,0,431
1240,Jesus Gallardo,MEX,DF,0,0,431
1241,Bart Verbruggen,NED,GK,0,0,432
1242,Patrick Beach,AUS,GK,0,0,435
1243,Alessandro Circati,AUS,DF,0,0,438
1243,Harry Souttar,AUS,DF,0,0,438
1245,Nahuel Molina,ARG,DF,0,0,438
1246,Johan Mojica,COL,DF,0,0,442
1247,Manuel Neuer,GER,GK,0,0,442
1248,Vozinha,CPV,GK,0,0,445
1248,Pico Lopes,CPV,DF,0,0,445
1248,Diney Borges,CPV,DF,0,0,445
1251,Junior Alonso,PAR,DF,0,0,456
1252,Jefferson Lerma,COL,MF,0,0,459
1253,Krepin Diatta,SEN,DF,0,0,459
1254,Pedri,ESP,MF,0,0,470
1255,Danilo,BRA,DF,0,0,471
1256,Richie Laryea,CAN,DF,0,0,475
1257,Juan Jose Caceres,PAR,DF,0,0,488
1258,Maxim De Cuyper,BEL,DF,0,0,492
1259,Raul Rangel,MEX,GK,0,0,494
1260,Bilal El Khannouss,MAR,MF,0,0,501
1261,Torbjorn Heggem,NOR,DF,0,0,503
1262,William Saliba,FRA,DF,0,0,503
1263,Nico Oreilly,ENG,DF,0,0,504
1264,Weston Mckennie,USA,MF,0,0,504
1265,Douglas Santos,BRA,DF,0,0,505
1266,Maxime Crepeau,CAN,GK,0,0,511
1266,Alistair Johnston,CAN,DF,0,0,511
1268,Renato Veiga,POR,DF,0,0,518
1268,Diogo Costa,POR,GK,0,0,518
1270,Marquinhos,BRA,DF,0,0,520
1270,Alisson,BRA,GK,0,0,520
1272,Jhon Lucumi,COL,DF,0,0,538
1273,Davinson Sanchez,COL,DF,0,0,541
1273,Camilo Vargas,COL,GK,0,0,541
1275,Noussair Mazraoui,MAR,DF,0,0,542
1276,Mostafa Shoubir,EGY,GK,0,0,546
1277,Andres Cubas,PAR,MF,0,0,554
1277,Orlando Gill,PAR,GK,0,0,554
1277,Gustavo Gomez,PAR,DF,0,0,554
1280,Kristoffer Ajer,NOR,DF,0,0,554
1280,Sander Berge,NOR,MF,0,0,554
1280,Orjan Nyland,NOR,GK,0,0,554
1283,Jules Kounde,FRA,DF,0,0,555
1284,Marc Guehi,ENG,DF,0,0,559
1285,Dayot Upamecano,FRA,DF,0,0,584
1286,Mike Maignan,FRA,GK,0,0,604
1287,Rodri,ESP,MF,0,0,605
1288,Ezri Konsa,ENG,DF,0,0,606
1289,Pau Cubarsi,ESP,DF,0,0,614
1289,Unai Simon,ESP,GK,0,0,614
1291,Thibaut Courtois,BEL,GK,0,0,625
1292,Neil El Aynaoui,MAR,MF,0,0,634
1293,Yassine Bounou,MAR,GK,0,0,650
1294,Brandon Mechele,BEL,DF,0,0,651
1295,Jordan Pickford,ENG,GK,0,0,651
1296,Remo Freuler,SUI,MF,0,0,654
1297,Manuel Akanji,SUI,DF,0,0,673
1297,Nico Elvedi,SUI,DF,0,0,673
1299,Gregor Kobel,SUI,GK,0,0,673
1300,Emiliano Martinez,ARG,GK,0,0,689
